epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46584,1.03127,3.30304,1.0688,0.0025,1,0.5176,0.41921,0.58984,3.81724,0.79493,0.00034,0.00034,0.00034
2,10.5106,0.9803,1.99845,1.01784,0.82955,0.33333,0.4863,0.32517,0.86904,3.9592,0.90541,0.00068614,0.00068614,0.00068614
3,15.4361,1.06478,2.11223,1.12869,1,0.13047,0.38802,0.2946,0.72607,3.84403,0.92851,0.00101802,0.00101802,0.00101802
4,20.3302,0.97502,1.8917,1.04807,0.90379,0.69616,0.91568,0.68167,0.88597,3.10014,1.07378,0.00133565,0.00133565,0.00133565
5,25.1508,0.87815,2.59498,1.00211,0.46733,0.48758,0.55116,0.39145,0.88176,3.22021,1.04252,0.00163902,0.00163902,0.00163902
6,30.3059,0.98234,1.86536,1.05355,0.68938,0.85185,0.80479,0.5861,0.88133,3.00936,1.04544,0.001802,0.001802,0.001802
7,35.2666,1.02153,1.75035,1.08269,0.92433,0.96296,0.94847,0.72207,0.8614,2.30323,1.07577,0.0017624,0.0017624,0.0017624
8,40.4622,0.85364,2.0803,0.95148,0.86998,0.99146,0.98165,0.722,0.89355,2.04493,1.02044,0.0017228,0.0017228,0.0017228
9,45.4427,0.96245,1.44921,1.03559,0.89129,0.92593,0.96543,0.73081,0.8653,2.46573,1.0074,0.0016832,0.0016832,0.0016832
10,50.4537,0.9403,1.50916,0.99859,0.92802,0.95518,0.96832,0.71899,0.99617,1.86697,1.11736,0.0016436,0.0016436,0.0016436
11,55.4454,0.91395,1.30853,1.02759,0.74806,0.92593,0.80559,0.63538,0.95063,3.50238,1.15394,0.001604,0.001604,0.001604
12,60.4392,0.89637,1.3729,1.02849,0.47125,0.62963,0.58884,0.45664,0.88092,7.39365,1.13302,0.0015644,0.0015644,0.0015644
13,65.4433,0.97521,1.30887,1.0286,0.02219,0.77778,0.02164,0.01592,1.19916,84.3769,1.2678,0.0015248,0.0015248,0.0015248
14,70.463,0.94069,1.17216,1.06409,0.98741,0.92593,0.97587,0.76075,0.91685,1.48076,1.12405,0.0014852,0.0014852,0.0014852
15,75.4964,0.91534,1.09789,1.02219,0.99658,0.96296,0.99113,0.78765,0.73794,1.33751,0.97586,0.0014456,0.0014456,0.0014456
16,80.5284,0.88753,1.05102,1.08272,0.99664,0.96296,0.99293,0.78021,0.7119,1.14591,0.94023,0.001406,0.001406,0.001406
17,85.5907,0.8527,1.00591,1.01473,1,0.9939,0.995,0.79324,0.73666,1.17745,0.96386,0.0013664,0.0013664,0.0013664
18,90.6725,0.80871,0.92813,0.96764,0.99855,1,0.995,0.81697,0.75536,1.09408,0.97948,0.0013268,0.0013268,0.0013268
19,95.7541,0.84538,0.98371,1.00203,0.9976,1,0.995,0.78864,0.77223,1.0886,0.99652,0.0012872,0.0012872,0.0012872
20,100.875,0.82717,0.90021,0.95603,0.99707,1,0.995,0.75786,0.82317,0.95637,1.00103,0.0012476,0.0012476,0.0012476
21,106.006,0.79842,0.86824,0.96301,0.99739,1,0.995,0.7901,0.69439,0.85106,0.94209,0.001208,0.001208,0.001208
22,111.122,0.81687,0.86611,0.97878,0.99697,1,0.995,0.81349,0.7373,0.91604,0.97998,0.0011684,0.0011684,0.0011684
23,116.267,0.84344,0.86626,0.98483,0.99778,1,0.995,0.82054,0.71072,0.91954,0.97212,0.0011288,0.0011288,0.0011288
24,121.435,0.79938,0.83852,0.96874,0.99649,1,0.995,0.81014,0.73882,0.87277,0.98626,0.0010892,0.0010892,0.0010892
25,126.602,0.77914,0.80448,0.99579,0.99722,1,0.995,0.80285,0.7778,0.90354,1.00219,0.0010496,0.0010496,0.0010496
26,131.805,0.80549,0.76195,0.95629,0.99903,1,0.995,0.83055,0.69045,0.84148,0.93667,0.00101,0.00101,0.00101
27,137.008,0.80276,0.80941,0.97705,0.97282,1,0.995,0.81869,0.71778,0.84172,0.95974,0.0009704,0.0009704,0.0009704
28,142.256,0.77767,0.79637,0.95943,0.99529,1,0.995,0.81813,0.7332,0.81683,0.96021,0.0009308,0.0009308,0.0009308
29,147.492,0.7958,0.75526,0.99092,0.9948,1,0.995,0.82736,0.72642,0.76523,0.94198,0.0008912,0.0008912,0.0008912
30,152.748,0.80252,0.73111,0.9773,0.99623,1,0.995,0.8119,0.69851,0.72502,0.91387,0.0008516,0.0008516,0.0008516
31,158.021,0.80495,0.70329,0.99313,0.99668,1,0.995,0.82306,0.68431,0.68387,0.91736,0.000812,0.000812,0.000812
32,163.27,0.85341,0.72335,0.97908,0.99749,1,0.995,0.83769,0.7038,0.68069,0.93307,0.0007724,0.0007724,0.0007724
33,168.555,0.75202,0.6639,0.9468,0.99773,1,0.995,0.83227,0.70549,0.659,0.93818,0.0007328,0.0007328,0.0007328
34,173.833,0.77746,0.6761,0.93716,0.99726,1,0.995,0.82095,0.72481,0.64372,0.94069,0.0006932,0.0006932,0.0006932
35,179.11,0.70842,0.62905,0.94431,0.99715,1,0.995,0.82711,0.72204,0.63648,0.9369,0.0006536,0.0006536,0.0006536
36,184.396,0.7102,0.61434,0.9368,0.99748,1,0.995,0.83375,0.66312,0.60617,0.9098,0.000614,0.000614,0.000614
37,189.68,0.72698,0.64451,0.96177,0.99768,1,0.995,0.83705,0.60631,0.60417,0.88697,0.0005744,0.0005744,0.0005744
38,194.966,0.76504,0.62346,0.9403,0.99752,1,0.995,0.84059,0.69097,0.64839,0.91293,0.0005348,0.0005348,0.0005348
39,200.254,0.7254,0.59997,0.94359,0.99698,1,0.995,0.83257,0.68665,0.63984,0.92555,0.0004952,0.0004952,0.0004952
40,205.537,0.71165,0.62286,0.93512,0.99727,1,0.995,0.8342,0.70677,0.63832,0.9348,0.0004556,0.0004556,0.0004556
41,211.635,0.62455,0.69933,0.83807,0.99755,1,0.995,0.81633,0.69827,0.62864,0.93203,0.000416,0.000416,0.000416
42,216.92,0.66095,0.61646,0.92184,0.99779,1,0.995,0.83444,0.67077,0.58475,0.91126,0.0003764,0.0003764,0.0003764
43,222.211,0.6819,0.63926,0.91683,0.99768,1,0.995,0.84294,0.66537,0.57583,0.91023,0.0003368,0.0003368,0.0003368
44,227.507,0.67954,0.7269,0.92139,0.99763,1,0.995,0.83577,0.64714,0.56733,0.90952,0.0002972,0.0002972,0.0002972
45,232.785,0.69547,0.60146,0.90534,0.99769,1,0.995,0.83663,0.62503,0.55651,0.90391,0.0002576,0.0002576,0.0002576
46,238.081,0.65469,0.57977,0.91264,0.99771,1,0.995,0.82563,0.63899,0.53369,0.90211,0.000218,0.000218,0.000218
47,243.369,0.62023,0.57828,0.87595,0.9978,1,0.995,0.82286,0.65153,0.53303,0.90209,0.0001784,0.0001784,0.0001784
48,248.662,0.63673,0.57877,0.86035,0.99779,1,0.995,0.83906,0.65526,0.53843,0.90276,0.0001388,0.0001388,0.0001388
49,253.959,0.65685,0.57278,0.87298,0.99781,1,0.995,0.83982,0.66045,0.53478,0.90451,9.92e-05,9.92e-05,9.92e-05
50,259.256,0.61704,0.547,0.8551,0.99781,1,0.995,0.84703,0.65603,0.53012,0.90434,5.96e-05,5.96e-05,5.96e-05
